Year,Number_of_incidents,Wounded,Killed
1966,2,33,21
1967,0,0,0
1968,0,0,0
1969,0,0,0
1970,0,0,0
1971,1,3,2
1972,1,12,10
1973,0,0,0
1974,2,10,4
1975,0,0,0
1976,2,9,8
1977,0,0,0
1978,0,0,0
1979,2,14,4
1980,0,0,0
1981,0,0,0
1982,2,4,10
1983,2,4,14
1984,3,30,31
1985,2,4,3
1986,3,12,17
1987,1,14,6
1988,6,26,17
1989,3,40,19
1990,1,5,12
1991,5,23,47
1992,4,19,11
1993,9,46,29
1994,4,30,12
1995,4,3,14
1996,3,0,13
1997,6,19,18
1998,5,43,15
1999,7,52,45
2000,1,0,7
2001,2,16,8
2002,2,2,7
2003,3,8,15
2004,2,8,11
2005,3,10,21
2006,6,13,24
2007,10,49,67
2008,6,24,29
2009,6,41,57
2010,2,7,9
2011,6,35,29
2012,14,91,93
2013,16,24,76
2014,13,45,43
2015,65,146,209
2016,98,311,244
