event,location,date,fatalities,injured,total_victims,age_of_shooter,weapons_obtained_legally,handgun,long_gun,Mother_Jones,Washington_Post
University of Texas tower shooting,"Austin, Texas",8/1/1966,17,30,47,25,Yes,0,4,0,1
Rose-Mar College of Beauty shooting,"Mesa, Arizona",11/12/1966,5,2,7,18,Yes,1,0,0,1
Hammermill Paper Co. shooting,"Lock Haven, Pennsylvania",10/23/1967,6,6,12,39,Unknown,2,0,0,1
Ironwood Township shooting,"Ironwood, Michigan",3/16/1968,7,2,9,56,Yes,0,1,0,1
Pennsylvania Turnpike shooting,"Harrisburg, Pennsylvania",4/5/1969,4,16,20,31,Yes,0,2,0,1
New York Department of Labor shooting,"Albany, New York",9/23/1970,4,0,4,25,Yes,0,1,0,1
North Hills Shopping Mall shooting,"Raleigh, North Carolina",5/29/1972,4,8,12,22,Yes,0,1,0,1
Heritage Building shooting,"Cherry Hill, New Jersey",6/21/1972,6,6,12,33,Yes,0,1,0,1
Howard Johnson's shooting,"New Orleans, Louisiana",1/7/1973,7,10,17,23,Unknown,0,1,0,1
Henry Cowell State Park shooting,"Santa Cruz, California",2/10/1973,4,4,8,25,Unknown,1,0,0,1
Ship Ashore Motel and Resort shooting,"Smith River, California",3/2/1975,5,1,6,21,Unknown,0,1,0,1
California State University at Fullerton shooting,"Fullerton, California",7/12/1976,7,2,9,37,Yes,0,1,0,1
Neptune Worldwide Moving Co. shooting,"New Rochelle, New York",2/14/1977,5,4,9,33,Unknown,1,1,0,1
Uncle Albert nightclub shooting,"Klamath Falls, Oregon",7/23/1977,6,2,8,26,Unknown,0,1,0,1
Erie Lackwanna Railroad shooting,"Hackettstown, New Jersey",8/26/1977,6,0,6,20,No,0,1,0,1
Lee's Cathay Terrace shooting,"Warwick, Rhode Island",6/17/1978,5,0,5,48,Yes,0,1,0,1
Starburst Lounge shooting,"El Paso, Texas",2/3/1980,5,3,8,21,Unknown,0,1,0,1
First Baptist Church shooting,"Daingerfield, Texas",6/22/1980,5,10,15,45,Unknown,2,2,0,1
Coraopolis sniper shooting,"Coraopolis, Pennsylvania",7/21/1980,4,1,5,23,Unknown,0,2,0,1
Oregon Museum Tavern shooting,"Salem, Oregon",5/7/1981,5,18,23,25,Unknown,1,0,0,1
Mountain Auto-Truck Parts Store shooting,"Allen, Kentucky",10/16/1981,5,3,8,70,Unknown,0,1,0,1
Russian Jack Springs Park shooting,"Anchorage, Alaska",5/3/1982,4,0,4,34,No,1,0,0,1
Western Transfer Co. shooting,"Grand Prairie, Texas",8/9/1982,6,4,10,49,Unknown,2,1,0,1
Welding shop shooting,"Miami, Florida",8/20/1982,8,3,11,51,Yes,0,1,1,1
The Investor shooting,"Noyes Island, Alaska",9/6/1982,8,0,8,Unknown,Unknown,1,0,0,1
Alaska mining town shooting,"Manely Hot Springs, Alaska",5/17/1984,7,1,9,25,Unknown,0,1,0,1
Dallas nightclub shooting,"Dallas, Texas",6/29/1984,6,1,7,39,Unknown,1,0,1,1
San Ysidro McDonald's massacre,"San Ysidro, California",7/18/1984,21,19,40,41,Yes,1,2,1,1
Other Place Lounge shooting,"Hot Springs, Arkansas",7/24/1984,4,3,7,36,Unknown,1,1,0,1
Anchor Glass Container Corporation shooting,"South Connellsville, Pennsylvania",3/16/1985,4,1,5,40,Unknown,1,0,0,1
United States Postal Service shooting,"Edmond, Oklahoma",8/20/1986,14,6,20,44,Yes,3,0,1,1
Shopping centers spree killings,"Palm Bay, Florida",4/23/1987,6,14,20,59,Yes,2,2,1,1
Electromagnetic Systems Labs shooting,"Sunnyvale, California",2/16/1988,7,4,11,39,Yes,4,2,1,1
ESL shooting,"Sunnyvale, California",2/16/1988,7,4,11,39,Yes,4,3,1,1
Old Salisbury Road shooting,"Winston-Salem, North Carolina",7/17/1988,4,5,9,24,Unknown,0,1,0,1
Montefiore School shooting,"Chicago, Ilinois",9/22/1988,4,2,6,40,Unknown,1,0,0,1
Stockton schoolyard shooting (Cleveland Elementary School shooting),"Stockton, California",1/17/1989,5,29,34,26,Yes,1,1,1,1
Standard Gravure shooting,"Louisville, Kentucky",9/14/1989,8,12,20,47,Yes,4,1,1,1
GMAC massacre,"Jacksonville, Florida",6/18/1990,11,4,14,42,No,1,1,1,1
