Year,Number_of_incidents,Wounded,Killed
1966,2,32,22
1967,1,6,6
1968,1,2,7
1969,1,16,4
1970,1,0,4
1971,0,0,0
1972,2,14,10
1973,2,14,11
1974,0,0,0
1975,1,1,5
1976,1,2,7
1977,3,6,17
1978,1,0,5
1979,0,0,0
1980,3,14,14
1981,2,21,10
1982,4,7,26
1983,0,0,0
1984,4,24,38
1985,1,1,4
1986,1,6,14
1987,1,14,6
1988,4,15,22
1989,2,41,13
1990,1,4,11
1991,5,26,39
1992,5,11,22
1993,8,46,44
1994,2,46,9
1995,3,4,15
1996,3,5,16
1997,3,9,12
1998,3,36,14
1999,7,52,52
2000,3,1,17
2001,4,9,19
2002,1,2,5
2003,4,9,23
2004,3,6,17
2005,4,9,26
2006,4,8,26
2007,5,37,58
2008,5,26,27
2009,5,39,43
2010,4,11,22
2011,5,25,31
2012,7,80,69
2013,5,13,35
2014,3,16,15
2015,4,31,38
2016,6,67,76
2017,8,886,114
2018,8,56,68
2019,13,109,89
2020,5,16,24
2021,8,12,51
2022,0,0,0
